B154,January,Izmir,2020,derailleur,carbonfiber,8
P659,October,Ankara,2016,extended,regular,15
H325,December,Izmir,2022,yes,1.3,18
S123,May,Istanbul,2008,moonroof,1.7,18
M235,August,Izmir,2022,6,1.7,18
M476,May,Ankara,2012,4,1.6,18
P198,August,Izmir,2005,regular,tanker,15
S564,January,Izmir,2001,sunroof,1.6,18
S458,October,Ankara,2016,regular,1.3,18
H879,December,Istanbul,2015,yes,1.7,18
P132,October,Izmir,2017,crew,trailer,15
M302,May,Ankara,2003,7,1.8,18
B653,May,Istanbul,2013,derailleur,steel,8
H169,January,Izmir,2014,no,1.6,18
B697,October,Ankara,2013,onechain,aluminum,8
S951,December,Istanbul,2020,sunroof,1.3,18
P638,January,Ankara,2001,extended,tanker,15
B450,October,Izmir,2021,doublechain,titanium,8
H032,May,Ankara,2019,yes,1.5,18
M103,December,Istanbul,2021,5,1.8,18
